Date,Open,High,Low,Close*
"Nov 26, 2021","17,338.75","17,355.40","16,985.70","17,026.45"
"Nov 25, 2021","17,417.30","17,564.35","17,351.70","17,536.25"
"Nov 24, 2021","17,550.05","17,600.60","17,354.00","17,415.05"
"Nov 23, 2021","17,281.75","17,553.70","17,216.10","17,503.35"
"Nov 22, 2021","17,796.25","17,805.25","17,280.45","17,416.55"
"Nov 18, 2021","17,890.55","17,945.60","17,688.50","17,764.80"
"Nov 17, 2021","17,939.35","18,022.65","17,879.25","17,898.65"
"Nov 16, 2021","18,127.05","18,132.65","17,958.80","17,999.20"
"Nov 15, 2021","18,140.95","18,210.15","18,071.30","18,109.45"
"Nov 12, 2021","17,977.60","18,123.00","17,905.90","18,102.75"
"Nov 11, 2021","17,967.45","17,971.35","17,798.20","17,873.60"
"Nov 10, 2021","17,973.45","18,061.25","17,915.00","18,017.20"
"Nov 09, 2021","18,084.35","18,112.60","17,983.05","18,044.25"
"Nov 08, 2021","18,040.20","18,087.80","17,836.10","18,068.55"
"Nov 04, 2021","17,935.05","17,947.55","17,900.60","17,916.80"
"Nov 03, 2021","17,947.95","17,988.75","17,757.95","17,829.20"
"Nov 02, 2021","17,970.90","18,012.25","17,847.60","17,888.95"
"Nov 01, 2021","17,783.15","17,954.10","17,697.10","17,929.65"
"Oct 29, 2021","17,833.05","17,915.85","17,613.10","17,671.65"
"Oct 28, 2021","18,187.65","18,190.70","17,799.45","17,857.25"
"Oct 27, 2021","18,295.85","18,342.05","18,167.90","18,210.95"
"Oct 26, 2021","18,154.50","18,310.45","18,099.30","18,268.40"
"Oct 25, 2021","18,229.50","18,241.40","17,968.50","18,125.40"
"Oct 22, 2021","18,230.70","18,314.25","18,034.35","18,114.90"
"Oct 21, 2021","18,382.70","18,384.20","18,048.00","18,178.10"
"Oct 20, 2021","18,439.90","18,458.30","18,209.35","18,266.60"
"Oct 19, 2021","18,602.35","18,604.45","18,377.70","18,418.75"
"Oct 18, 2021","18,500.10","18,543.15","18,445.30","18,477.05"
"Oct 14, 2021","18,272.85","18,350.75","18,248.70","18,338.55"
